Date,Open,High,Low,Close,Volume
2014-06-06,3.4531,3.7500,3.4375,3.4375,116072000
2014-06-09,3.5156,3.5625,3.4375,3.4500,11470400
2014-06-10,3.4531,3.7500,3.4531,3.7500,15788800
2014-06-11,3.7500,3.9688,3.6663,3.9688,10585600
2014-06-12,3.9781,4.2394,3.9419,4.1250,11668800
2014-06-13,4.2794,4.5000,4.1875,4.3488,17051200
2014-06-16,4.4513,4.4688,4.2272,4.4688,6672000
2014-06-17,4.4931,4.5394,4.3125,4.3569,4457600
2014-06-18,4.3794,4.4375,4.2425,4.3100,3340800
2014-06-19,4.2519,4.3006,4.0319,4.1044,10425600
2014-06-20,4.0656,4.2813,4.0313,4.0719,4704000
2014-06-23,4.0638,4.2181,4.0638,4.1069,1864000
2014-06-24,4.1469,4.1719,3.9919,4.0175,3084800
2014-06-25,3.9881,4.0849,3.8750,4.0306,2979200
2014-06-26,4.0506,4.0506,3.9063,3.9881,1553600
2014-06-27,3.9944,3.9944,3.8906,3.9094,3915200
2014-06-30,3.8794,4.0750,3.8794,3.8994,3712000
2014-07-01,4.1856,4.8019,4.1313,4.7500,26531200
2014-07-02,4.9213,5.0331,4.5750,4.7094,18024000
2014-07-03,4.7775,4.8517,4.6313,4.7756,3902400
2014-07-07,4.6975,4.8306,4.5019,4.5106,5065600
2014-07-08,4.4956,4.5031,3.9463,4.3394,18859200
2014-07-09,4.3313,4.5563,4.1256,4.4938,5952000
2014-07-10,4.2200,4.3838,4.1952,4.2338,4748800
2014-07-11,4.3000,4.4063,4.2719,4.3519,3067200
2014-07-14,4.4625,4.5000,4.2831,4.3094,2096000
2014-07-15,4.3406,4.4100,4.1250,4.1681,3617600
2014-07-16,4.1919,4.2500,3.9756,4.0331,3963200
2014-07-17,3.9931,4.1013,3.9444,3.9850,2083200
2014-07-18,4.0019,4.0563,3.9594,4.0000,1979200
2014-07-21,4.0081,4.0456,3.9381,3.9519,2299200
2014-07-22,3.9850,4.1850,3.9663,4.0944,3774400
2014-07-23,4.1181,4.1675,4.0250,4.0513,2366400
